app_id,app_name,reviewId,userName,score,content,thumbsUpCount,at,sentiment_hint,contradiction_flag
com.google.android.keep,Google Keep - Notes and lists,48b0bb2b-d555-4c48-b6b6-dc19966c2f2d,madhusudhan behera,1,Not reminder properly.,0,2026-02-06 12:08:40,NEUTRAL,False
com.google.android.keep,Google Keep - Notes and lists,2d1c4231-9340-4d4a-b523-96e82898614f,Tempo RIA,3,"reminder function stops working in Feb 2026. all my reminders were deleted. I missed all the events at those time. manually add reminders back, just to find out the app immediately deletes the reminder. After a few days, it finally get back to normal condition, but all the reminders are ""overlapping"". Took Developer's advice and visited the Help page. Search ""Reminder stops working"", nothing useful. but, thanks for helping, dear Developer.",0,2026-02-06 11:34:29,NEUTRAL,False
com.google.android.keep,Google Keep - Notes and lists,ec557de7-d6e0-4bf0-a39e-47c1e5c5a300,Faris Al-Serraj,3,just needs a 1x1 widget for a single note.,0,2026-02-06 09:35:58,NEUTRAL,False
com.google.android.keep,Google Keep - Notes and lists,5732157e-eb40-4a38-8cd4-91d0ad5e00a7,Daniel,5,"it's a good app, really helpful",0,2026-02-06 09:23:31,POS,False
com.google.android.keep,Google Keep - Notes and lists,957e541e-8783-4aa9-9f19-253dc894e2e7,meekhumble,5,Cool,0,2026-02-06 09:13:53,NEUTRAL,False
com.google.android.keep,Google Keep - Notes and lists,23ab658c-409e-4758-8242-634d24e3717c,Khani Khan,5,very good 😊👍,0,2026-02-06 08:52:14,POS,False
com.google.android.keep,Google Keep - Notes and lists,c2f85f77-fcfa-455e-9767-f7c665266b5d,Dragoslav Miladinović,5,Very good !!!,0,2026-02-06 08:41:44,POS,False
com.google.android.keep,Google Keep - Notes and lists,5b5366fc-c376-47e9-b8f1-5232e4119e92,Mahendra Singh,5,Good for Short notes,0,2026-02-06 08:18:57,POS,False
com.google.android.keep,Google Keep - Notes and lists,951ae404-b2f2-44d6-96d1-7a326a12c0ec,Gulam warish Kureshi,5,good,0,2026-02-06 07:36:34,POS,False
com.google.android.keep,Google Keep - Notes and lists,9df80895-2982-49ba-bff9-d5a36aad6478,Madhu Pandit,1,nice,0,2026-02-06 07:36:14,NEUTRAL,False
com.google.android.keep,Google Keep - Notes and lists,0d214da8-eb46-4413-9fce-da2908ebb65b,Jayaraj,4,If grouping of notes is available then it would be really good,0,2026-02-06 07:17:14,POS,False
